,screen_name,followers,friends,description,tweets
1845,maasPSV,497,695,PSV & Chelsea - Gakpo fanaccount,3391
1846,mynameiisfilipe,749,468,E PLURIBUS UNUM DiabosVermelhos82 // 18y // C06 💛// SCEB Futsal Sub-19,46556
1847,realjoe_x,815,1238,song writer || artiste || musician|| inspired by inspiration it self || RNB music ||For Bookings: josephsamuel251@gmail.com sponsor of @joex_chicken,3830
1848,KoningBarend,562,842,"Specialist wieltjeszuigen, luie baas, dwarsliggende freestyler. Permanent op zoek naar het blad voor zijn mond. Denkt hardop na.",23549
1849,dreambean5,156,1412,She/Her|21yo|ENG&INA:OK|Some RT NFSW🔞|NightOwl&Otaku|Rambling|Introvert|Multifandom Ships|Unending thirst for Anime/Game Characters,17026
1850,MightyMusialaV3,406,241,nor/mal | @fcbayern | @MightyV3Priv | hth merchant,2023
1851,JohnGraat,4267,3310,"Chef sport Dagblad Trouw. Sportliefhebber dus. Maar ook vader, echtgenoot, neerlandicus, levensgenieter. Ik was eerder werkzaam bij ED, Trouw en ED...",22435
1852,AdewumiHabib,108,615,Am a cool headed guy,3511
1853,ROTIMI_VICTORR,506,590,Chelsea Fan💙💙💙 Music Lover🤗 🥳 OBO stan account Louie Stan🥳,3496
1854,MartijnDRSN,441,358,Technisch commissie jeugd Excelsior’31 | Keepers | Rijssen | Ajax | GAE | Bergkamp | Litmanen | Hazes | single | wandelen | all tweets are my own,3355
1855,dylanalhadi,1353,378,"Local Face, Global Taste | Environment Cultural Neutralism (Ar-Rum:41) | Traveling + Sports + Music = 💯| Environmentalist, Sports Addict, Citizen Journalist",16707
1856,ajax_lee,252,571,Territoire privé,9387
1857,BrisasIsMyIdolo,1239,3811,@afcajax @newyorkredbulls @njdevils @panthers @dbacks followed by @johncena and @newyorkredbulls,40450
1858,AJAX_INDIAN,201,542,"Truely Indian, Alive as Heart still feeling, Brain still reasoning..
I think we Indians must first check these two things before we say I am still Alive.",1959
1859,giocmartins,585,1016,freelancer illustrator 🇧🇷,16350
1860,olamideflexy,267,475,I need your blessings on me Baba God,1731
1861,FurkanKrl681995,642,782,#GT #TT Geri Takip & Takibe Takip Yapılır 🇹🇷🇦🇿,8685
1862,offtheball,124548,1607,"#OTBAM @ 7.30am - YouTube & https://t.co/Ey9Z6QCAbY 🎧📱

OTB FM - Mon-Fri 7pm, Sat+Sun 1pm | @NewstalkFM & OTB Sports Radio 🎧📱

OTB Sports App: Play & App Store",143848
1863,Aryor_mide,633,772,Arsenal fan #COYG💪🔴⚪️.........CR7 🐐,21810
1864,Ajax_sukore,181,186,"若松在住の新米子豚です。他にもアークナイツ、プラエデ、原神やってます。
#アズレン
#若松鯖
#アークナイツ
質問箱→https://t.co/XsTZWZzVUl",1256
1865,ComradeJacob1,0,50,Paleoconservative - 369 IQ - MAGA MODE,89
1866,zachunion,202,293,Moonlighting as someone with good opinions. Philly Union #DOOP. Joel Embiid did a 180 on my heart. Black Lives Matter. Wear a mask. ACAB.,4228
1867,Ajax_SoccerNews,4457,242,"Het laatste nieuws over Ajax. 33x landskampioen, 18x bekerwinnaar, 2x wereldkampioen!",54643
1868,ajax_lee,252,571,Territoire privé,9387
1869,parejajd,1313,2265,"Desarrollador de Software. PSP Developer/Instructor, ScrumMaster. Lider de Equipo @EducaJunto Co-Fundador de @CreAppsCo https://t.co/tCq9wCZetJ #Dreamer",24268
1870,jesperdiercks,246,925,,2626
1871,Milan10knows,0,14,the most knowlegdeable and #1 milanista AND football aficionado,1125
1872,elise4ever,480,1174,Nederlands🇳🇱🦁 / Oslo 🇳🇴       🔗  🏳️‍🌈,35549
1873,tipsgt1,653,1430,#Football betting tips and advice via upcoming stats and news for the top 8 leagues. Follow us to keep up to date and expand your man knowledge for pub talk.,653
1874,PedrinhoDaDepr,296,166,"Pedro Victor Delmino da Silva jogador do grande SLBenfica ❤
1904",6040
1875,uchihakxgami,306,189,the only Uchiha who doesn’t need a therapist. | nsfw🔞,4898
1876,pxngxin,182,153,not racist i hate everyone equally,2732
1877,AnalysisCoeffi,349,739,"⚽️ 🇪🇺 Providing you with updates on coefficients. ⚽️📈

⚠️ Locked out of my previous account (@CoeffiAnalysis).",28
1878,BrisasIsMyIdolo,1239,3811,@afcajax @newyorkredbulls @njdevils @panthers @dbacks followed by @johncena and @newyorkredbulls,40450
1879,Tomatesh,532,697,Ex-membre des Rice Krispies,49321
1880,avaxgfxcom,86,1,,30469
1881,AnalysisCoeffi,349,739,"⚽️ 🇪🇺 Providing you with updates on coefficients. ⚽️📈

⚠️ Locked out of my previous account (@CoeffiAnalysis).",28
1882,dirtspouse,204,218,icon art by seofim on tweeters,85394
1883,samurai_trader_,2086,2426,2007年株式取引→2012年先物取引→2016年オプション取引→2018年FX自動売買｜多分の経験をもとに情報発信中。投資スタイルは『資金の分散』『時間の分散』『手法の分散』を徹底。まだまだ未熟者、ともに成長できる仲間を探し中。よろしくでござる！！#動画編集 #youtube #youtuber,10187
1884,mafaldaissilva,212,287,"A vida fez me do Benfica, e eu fiz do Benfica a minha vida. ❤️ | 🎙️ |",7346
1885,MaudyV7,155,159,"22 | Im a softie that enjoys anime ツ | Naruto, bnha and AoT | Supreme Levi and Obito simp | @Madarasimpette and @ausmeinerAsche are my wifeys 💜",774
1886,Voetbalsnafu,1435,1645,Grappigste blog van Nederland! | Ludiek voetbalnieuws | Humoristische voetbalfilmpjes | Voetbalnieuws met een knipoog ;-) | Uitblinkend in onkunde | Voetbal |,16910
1887,voetbal_tweets,981,716,Voetbalnieuws verzameld van alle aanbieders van dit nieuws. Volg ons en je blijft via Twitter op de hoogte.,270194
1888,spiekerJ1,383,1432,"Football and energy from a private point of view, retweets are not automatically endorsements",24913
1889,muzanomad,9512,4918,海外ノマドブロガー｜海外生活は今年で４年目｜ブログは２年目に突入｜猫の多い国で暮らしています｜まだまだ未熟者。立派な情報配信者を目指しておりますので、応援宜しくお願いします！📲YouTubeもやっています👉https://t.co/sFzjaINyUz,92363
1890,Ajax_Ranger,829,364,"Blogger @ShinyToyRobots_ and @Tokunation staff member ZeoRangerV. Writer as seen in/on @NEO_Magazine, @MyMMag, @TokuToyStore, @ukanime, @BlogtorWho & more.",31452
1891,HemmenKees,4901,382,"@Northeastern Data Science | 
Manchester United and Oranje supporter |
Words for @ScoutedFtbl |
Be kind | he/him",12339
1892,okanemotimamo3,434,428,,50990
1893,uchihakxgami,306,189,the only Uchiha who doesn’t need a therapist. | nsfw🔞,4898
1894,CubanReds,972,320,"Fanclub del Liverpool F.C en Cuba. Un corazón, un sentimiento nos une . #YNWA 
https://t.co/swydIj1YEI",6652
1895,AjaxFanatics,20174,139,Het laatste nieuws over de mooiste club ter wereld!,46883
1896,alex_dplma,67,346,Olympique de Marseille - Houston Rockets,4909
1897,sergiorbv,1034,715,Pai * Old Gamer * Nerd * Game Developer #GameDev #IndieDev #Anime #Mecha.,26301
1898,Snoopyandre95,160,282,"Humility
#cannaville",1283
1899,marco_pacini3,662,641,CPGE ECE - Ex-rédacteur pour @calciomio désormais chez @MilanActu ❤️🖤,7573
1900,Aspers16,22,59,,1972
1901,R0ykeane,816,1000,,43158
1902,Ajaxterdam1,138,708,ajax ❌❌❌ man utd 🛑👿🇳🇱🇲🇦,1239
1903,DannyKeetz,95,146,"5X drunk MVP. 5X husband. On the prowl for #6. Nashville, GA born & raised.",421
1904,ThAtBoYnEoNcRa1,142,1041,Never End On Nothing~ :4v4: ~human bank 🏦~ love & positivity :artists: :actor: :pornstar: largestpeen:,397
1905,VoetbalRSS,2103,2382,VoetbalnieuwsRSS brengt je dagelijks het laatste voetbalnieuws in je timeline!!! Absolute aanrader voor echte liefhebbers!!! http://t.co/7y8B6FcOp7,59245
1906,VoetbalPrimeur,57150,460,Het officiële account van VoetbalPrimeur. Volg en like ons ook op Instagram en Facebook.,333219
1907,ajax_paddy,28,237,Investor@forextrading,190
1908,goncalo_dias_17,1184,5004,"Um miúdo de 15 anos que sonha ser Jornalista e Scouter. 


Futebol internacional/analises e setorista do Corinthians no @futline_


@gonalod77447766",56466
1909,VP_Transfernews,917,9,Van de sappigste transfergeruchten tot de meest geweldige officiële transfers. Hier vind je alles!,21901
1910,OranjeRSS,7785,8197,DAGELIJKS ALLE ORANJE BERICHTEN VOOR JOU VERZAMELD! VOLG ONS ALS JE EEN ECHTE ORANJE-SUPPORTER BENT! 'NIET OFFICIEEL!!',37823
1911,shu1928vs,224,141,"20歳 | ニートからの挑戦 | 何でもポジティブに言い換える人  | JavaScript,React | 2020.0901〜独学プログラミング開始 | 大学受験浪人→経済的な理由で進学断念→公務員全落ち→フリータ→社会人6日で退職→ニート中 |ニート×プログラミング👇",794
1912,ha_ajax,0,4,Kirby's the best! Poyo!,14
1913,ajaxlife,147434,359,"Ajax Life is het account van de Supportersvereniging Ajax. Wij volgen foebele en alles op fangebied, soms met een knipoog. Een RT is niet per se onze mening.",102481
1914,tinboukulan,24,57,"珍bouクランです。どうぞよろしく、メンバーは今のところ11人です❗
エンジョイクランなのですが入隊条件はただひとつ、相手を敬える常識がある人です。でも楽しくやってます笑
入りたい人はこちらから
@tinbounoshake←DMからお願いします。",18
1915,headlinez,178,31,"Headlinez.nl - Het laatste nieuws verzameld op onderwerp, uit meer dan duizend nieuwsbronnen",200276
1916,MortgageHelpCA,99,279,My third career is as an awesome Mortgage Agent.  Having great life experience and a solid customer understanding background helps me serve YOU,534
1917,giocmartins,585,1016,freelancer illustrator 🇧🇷,16350
1918,Hugobaws25,119,194,"My spirit was unbroken, my heart was still on fire.",3512
1919,ajax_paddy,28,237,Investor@forextrading,190
1920,FinalAjax,466,612,❌❌❌ Altijd op de hoogte van het laatste Ajax nieuws. Twitter ook graag over de andere Nederlandse en buitenlandse topclubs.,5440
1921,14Ajacied,17,160,Ajacied in hart en nieren,131
1922,ajax_paddy,28,237,Investor@forextrading,190
1923,Wsince1892,34,61,Came for the football stayed for the banter.,1924
1924,DaltoBSilva,401,743,"Escrevo, desenho, existo (ao menos acho isso)
Devoto de São Guinefort",8180
1925,Ajax_SoccerNews,4457,242,"Het laatste nieuws over Ajax. 33x landskampioen, 18x bekerwinnaar, 2x wereldkampioen!",54643
1926,lewis4653,541,856,18,6409
1927,_noanoaann,29,244,"NOA 🌙 || Artist, Hobbyist, Simper- || EN/ID/日本語 (すこし-)|| Scaramouche simp || In Genshin hell right now, Genshin Theory Geek ❗️Repost OK but with credit!",483
1928,giocmartins,585,1016,freelancer illustrator 🇧🇷,16350
1929,puntopuntopunt4,63,250,,7174
1930,ajaxofiel,91,326,"voetbal en in 't bijzonder Ajax, Johan Cruyff Arena, vak 401",7423
